iter	Passed	Remaining
0	179	35688
1	204	20249
2	229	15098
3	255	12532
4	282	11001
5	307	9948
6	336	9265
7	364	8759
8	391	8303
9	416	7910
10	439	7546
11	462	7252
12	496	7140
13	528	7020
14	558	6892
15	584	6719
16	611	6583
17	641	6481
18	673	6415
19	702	6323
20	728	6212
21	755	6112
22	785	6043
23	828	6075
24	864	6050
25	895	5992
26	933	5982
27	964	5922
28	998	5887
29	1027	5824
30	1058	5770
31	1091	5728
32	1126	5699
33	1151	5621
34	1179	5562
35	1209	5509
36	1242	5475
37	1271	5420
38	1304	5386
39	1337	5351
40	1370	5314
41	1461	5496
42	1511	5518
43	1548	5488
44	1572	5417
45	1602	5364
46	1634	5320
47	1659	5255
48	1683	5187
49	1715	5145
50	1748	5109
51	1777	5058
52	1803	5002
53	1845	4990
54	1882	4961
55	1911	4914
56	1938	4862
57	1976	4839
58	2009	4801
59	2048	4778
60	2079	4738
61	2113	4704
62	2150	4676
63	2184	4642
64	2210	4591
65	2240	4547
66	2265	4498
67	2294	4453
68	2319	4403
69	2350	4365
70	2383	4330
71	2419	4300
72	2449	4260
73	2479	4221
74	2509	4183
75	2538	4141
76	2567	4101
77	2603	4072
78	2632	4032
79	2663	3995
80	2692	3955
81	2723	3919
82	2751	3878
83	2779	3838
84	2810	3802
85	2848	3775
86	2884	3746
87	2912	3706
88	2942	3669
89	2976	3638
90	3000	3593
91	3028	3554
92	3066	3528
93	3090	3485
94	3119	3447
95	3145	3408
96	3171	3367
97	3200	3331
98	3225	3290
99	3253	3253
100	3287	3222
101	3318	3188
102	3353	3157
103	3381	3121
104	3416	3090
105	3442	3052
106	3471	3017
107	3500	2981
108	3538	2953
109	3569	2920
110	3596	2883
111	3621	2845
112	3647	2808
113	3679	2776
114	3707	2740
115	3743	2710
116	3771	2675
117	3798	2639
118	3836	2611
119	3868	2579
120	3894	2542
121	3916	2504
122	3947	2471
123	3983	2441
124	4012	2407
125	4040	2372
126	4073	2341
127	4102	2307
128	4132	2274
129	4164	2242
130	4197	2211
131	4231	2179
132	4262	2147
133	4291	2113
134	4319	2079
135	4351	2047
136	4385	2016
137	4416	1984
138	4450	1952
139	4483	1921
140	4516	1890
141	4545	1856
142	4579	1825
143	4611	1793
144	4648	1763
145	4677	1730
146	4707	1697
147	4737	1664
148	4763	1630
149	4786	1595
150	4819	1563
151	4844	1529
152	4878	1498
153	4907	1465
154	4933	1432
155	4959	1398
156	4995	1368
157	5029	1336
158	5059	1304
159	5092	1273
160	5126	1241
161	5160	1210
162	5198	1179
163	5229	1147
164	5266	1117
165	5298	1085
166	5322	1051
167	5351	1019
168	5388	988
169	5412	955
170	5450	924
171	5481	892
172	5514	860
173	5543	828
174	5573	796
175	5600	763
176	5633	731
177	5675	701
178	5714	670
179	5744	638
180	5773	606
181	5800	573
182	5828	541
183	5859	509
184	5887	477
185	5922	445
186	5954	413
187	5991	382
188	6022	350
189	6049	318
190	6081	286
191	6118	254
192	6148	222
193	6180	191
194	6220	159
195	6251	127
196	6282	95
197	6316	63
198	6345	31
199	6375	0
